"id","name","corporation","registed_capital","status","province","city","district","company_type","industry","USCC","TIN","registed_num","location","business","birth_date_std"
"40c2887e-da44-11f0-87c4-00ffed46c27d","拉萨天利矿业有限公司","赵高举","270000000","存续","西藏自治区","拉萨市","拉萨经济技术开发区","其他有限责任公司","有色金属矿采选业","91540091783523405A","91540091783523405A","540091100001816","拉萨市经济技术开发区格桑路5号A幢一单元11011号","矿产品加工、销售。西藏拉萨市尼木县厅宫铜矿外围铜钼矿详查；总训铜钼矿；西藏拉萨市尼木县渡布曲铜钼矿详查；西藏拉萨市尼木县白容岗讲铜钼矿勘探；房屋租赁。【依法需经批准的项目，经相关部门批准后方可经营该项目】","18/4/2007"
"40c2891f-da44-11f0-87c4-00ffed46c27d","新疆砚山菌业有限公司","陶万勇","5800000","存续","新疆维吾尔自治区","阿勒泰地区","青河县","有限责任公司(自然人投资或控股)","农业","91654325676349333M","91654325676349333M","654325050001378","新疆阿勒泰地区青河县农业产业化园区","蔬菜种植，农产品初加工服务，中药材种植，果品蔬菜批发，菌需物资收购、加工、销售，货物与技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","18/8/2008"
"40c28a09-da44-11f0-87c4-00ffed46c27d","交银金融租赁有限责任公司","徐斌","20000000000","存续","上海市","","浦东新区","有限责任公司（非自然人投资或控股的法人独资）","其他金融业","913100006694171074","913100006694171074","310000000093787","中国（上海）自由贸易试验区陆家嘴环路333号28、29楼","融资租赁业务，接受承租人的租赁保证金，固定收益类证券投资业务，转让和受让融资租赁资产，吸收非银行股东3个月（含）以上定期存款，同业拆借，向金融机构借款，境外借款，租赁物变卖及处理业务，经济咨询，在境内保税地区设立项目公司开展融资租赁业务，为控股子公司、项目公司对外融资提供担保。【依法须经批准的项目，经相关部门批准后方可开展经营活动】","20/12/2007"
"40c28a9f-da44-11f0-87c4-00ffed46c27d","山东亨达煤业有限公司","宋传运","80000000","开业","山东省","泰安市","宁阳县","有限责任公司(非自然人投资或控股的法人独资)","开采专业及辅助性活动","913700007249660116","913700007249660116","370000018074695","泰安市宁阳县罡城镇","煤炭开采、销售(有效期限以许可证为准)*(依法须经批准的项目，经相关部门批准后方可开展经营活动)。","23/8/2000"
"40c28b8a-da44-11f0-87c4-00ffed46c27d","中国电建地产集团有限公司","王海波","9000000000","存续","北京市","","海淀区","有限责任公司(法人独资)","房地产业","91110108700228356X","91110108700228356X","110000000727783","北京市海淀区玲珑路9号院东区9号楼4层406、7层707、 8层808、9层909、10层1010","房地产开发；销售商品房；房地产信息咨询；物业管理。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）","8/7/1999"
"40c29180-da44-11f0-87c4-00ffed46c27d","噶尔县温江苗木培育基地","张春秀","0","存续","西藏自治区","阿里地区","噶尔县","个体工商户","林业","","","542523600103230","噶尔县昆莎乡","花卉 苗木 销售 种植","30/5/2012"
"40c292de-da44-11f0-87c4-00ffed46c27d","中山大洋电机股份有限公司","鲁楚平","2385090000","开业","广东省","中山市","","股份有限公司(上市、自然人投资或控股)","电气机械和器材制造业","914420007251062242","914420007251062242","442000000027487","中山市翠亨新区兴湾路22号，增设2处经营场所，具体地址为：1、中山市西区沙朗第三工业区金昌路15号（住所申报)2、中山市西区广丰工业大道1号（大洋电机广丰厂）","加工、制造、销售：微电机、家用电器、运动及健身机械、电工器材、电动工具、机动车零配件、电子产品、控制电器；经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务；厂房、仓库出租；生产、检测设备的租赁；新能源汽车电池包产品（电池成组和电池管理系统）的设计研发、生产和销售；氢燃料电池及其系统控制设备、零部件的研发、生产、销售；氢能源技术及其系统控制技术、零部件的研发、咨询；新能源开发、技术转让、技术服务及技术咨询。（以上经营范围不涉及危险化学品）（依法须经批准的项目，经相关部门批准后方可开展经营活动。）(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓","23/10/2000"
"40c29549-da44-11f0-87c4-00ffed46c27d","天津市旺远蔬菜专业合作社","李子旺","1500000","存续","天津市","","武清区","农民专业合作经济组织","农业","93120222562690381M","93120222562690381M","120222NA000246X","天津市武清区河北屯镇三里屯村","蔬菜种植，组织收购、销售成员种植的蔬菜，组织采购、供应成员种植所需的化肥、农药、包装种子，为成员提供种植技术咨询。（以上经营范围涉及许可证的在未取得之前不得从事生产经营活动，国家有专项专营规定的按规定办理）","12/11/2010"
"40c29626-da44-11f0-87c4-00ffed46c27d","吉林市龙潭区金贞熙种植专业合作社","李俊阳","7000000","存续","吉林省","吉林市","龙潭区","农民专业合作社","农业","93220203088809671W","93220203088809671W","220203NA000250X","吉林省吉林市龙潭区阿拉底镇兴朝村814号","蔬菜、谷物、水稻、杂粮、玉米种植；预包装食品兼散装食品批发兼零售；化肥（仅限零售）；为成员提供农产品的购买；农产品经营有关技术信息服务；农产品、农副产品加工、生产、销售及贮藏；干菜、人参、枸杞、干果、中草药、坚果、食用菌、土特产品、糖及原料批发兼零售（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","6/1/2014"
"40c297c7-da44-11f0-87c4-00ffed46c27d","焦作市鑫丰益农农资有限公司","李鑫鑫","10000000","存续","河南省","焦作市","孟州市","有限责任公司(自然人投资或控股)","农业","9141088307423124X7","9141088307423124X7","410883000020766","河南省焦作市孟州市谷旦镇董村谷黄路中段068号","一般项目：肥料销售；农作物种子经营（仅限不再分装的包装种子）；谷物种植；豆类种植；油料种植；薯类种植；谷物销售；豆及薯类销售；机械设备销售；通讯设备销售；互联网销售（除销售需要许可的商品）；机械零件、零部件销售；农业机械销售；软件销售；农业机械服务；农作物病虫害防治服务；农业生产托管服务；农业专业及辅助性活动；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；粮食收购；普通货物仓储服务（不含危险化学品等需许可审批的项目）；仓储设备租赁服务；非居住房地产租赁；机械设备租赁；农业机械租赁；劳务服务（不含劳务派遣）；建筑装饰材料销售；建筑材料销售；建筑用金属配件销售；建筑用钢筋产品销售；电子产品销售；家用电器销售；厨具卫具及日用杂品零售；会议及展览服务；体验式拓展活动及策划（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：农药批发（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）","24/7/2013"
